Known AI Goal,Known AI Technology,weight
"Content Recommendation, Content Search, Hate Speech Detection, NSFW Content Detection","Content-based Filtering, Collaborative Filtering",1
Hate Speech Detection,Character NGrams,1
Autonomous Driving,,1
AI Voice Assistant,"Automatic Speech Recognition, Language Modeling, Acoustic Fingerprint",1
Face Recognition,,1
Deepfake Video Generation,"Neural Network, Face Detection, Recurrent Neural Network, Generative Adversarial Network",1
"Substance Detection, Smart Devices",Gesture Recognition,1
Chatbot,"Autoencoder, Distributional Learning",1
Automatic Skill Assessment,"Geolocation Data, Face Detection",1
"Gunshot Detection, Audio Localization",Acoustic Triangulation,1
"Robotic Manipulation, Activity Tracking, Automatic Skill Assessment",,1
Financial Processing,,1
Hate Speech Detection,"Classification, Distributional Learning",1
"Market Forecasting, Scheduling",,1
Image Tagging,"Face Detection, Convolutional Neural Network, Keyword Filtering",1
Question Answering,"Language Modeling, Distributional Learning",1
Threat Detection,,1
Automatic Stock Trading,,1
Autonomous Drones,,1
Translation,"Convolutional Neural Network, Recurrent Neural Network, Distributional Learning",1
Face Recognition,Face Detection,1
Image Cropping,Neural Network,1
Automated Content Curation,,1
Copyrighted Content Detection,,1
Question Answering,"Distributional Learning, Language Modeling",1
Market Forecasting,"Regression, Multimodal Learning, Diverse Data",1
Autonomous Driving,Geolocation Data,1
Behavioral Modeling,Neural Network,1
License Plate Recognition,"Visual Object Detection, Optical Character Recognition",1
Visual Art Generation,"Transformer, Distributional Learning",1
Automatic Skill Assessment,Automatic Speech Recognition,1
Autonomous Driving,Image Segmentation,1
Code Generation,"Transformer, Language Modeling",1
Robotic Manipulation,,1
Autonomous Drones,,1
Visual Art Generation,"Transformer, Generative Adversarial Network",1
Question Answering,"Transformer, Language Modeling, Distributional Learning",1
Recidivism Prediction,,1
Autonomous Driving,,1
Data Grouping,,1
Social Media Content Generation,"Transformer, Distributional Learning",1
Chatbot,"Transformer, Distributional Learning, Reinforcement Learning",1
Chatbot,Transformer,1
Visual Art Generation,Diffusion Model,1
Chatbot,,1
Deepfake Video Generation,Speech Synthesis,1
Translation,,1
Chatbot,Transformer,1
Cashierless Shopping,"Visual Object Detection, Pose Estimation",1
Visual Art Generation,Diffusion Model,1
Chatbot,Transformer,1
Deepfake Image Generation,,1
Chatbot,,1
Deepfake Image Generation,,1
Voice Generation,,1
Text Style Replication,Transformer,1
"Deepfake Image Generation, Social Media Content Generation, Voice Generation",,1
"Deepfake Video Generation, Voice Generation",,1
Automatic Copy-Editing,,1
Voice Generation,,1
Deepfake Video Generation,"Transformer, Generative Adversarial Network, Convolutional Neural Network",1
NSFW Content Detection,Image Classification,1
Technical Text Generation,Transformer,1
Deepfake Video Generation,,1
Image Generation,Transformer,1
Deepfake Video Generation,,1
Product Naming and Description,Transformer,1
Chatbot,Transformer,1
"Voice Generation, Text Style Replication",,1
Chatbot,,1
Image Retouching,,1
Deepfake Video Generation,,1
Voice Generation,,1
Gunshot Detection,,1
Chatbot,Transformer,1
Autonomous Driving,,1
Image Generation,"Transformer, Convolutional Neural Network",1
Team Coordination,Tree-based Learning,1
Content Search,"Collaborative Filtering, Query Expansion",1
Underwriting,"Regression, Document Classification",1
Image Description,Neural Network,1
Game AI,,1
Application Evaluation,Distributional Learning,1
AI Voice Assistant,"Automatic Speech Recognition, Speech Synthesis",1
Face Recognition,,1
Content Search,Collaborative Filtering,1
Image Verification,"Image Classification, Face Detection",1
Image Scoring,"Image Classification, Convolutional Neural Network",1
Smart Contract,Conditional Logic,1
Deepfake Video Generation,,1
Face Recognition,"Face Detection, Image Retrieval",1
Application Evaluation,,1
Application Evaluation,,1
Recidivism Prediction,,1
Workforce Administration,,1
Image Tagging,Neural Network,1
Face Recognition,"Face Detection, Neural Network",1
Robotic Manipulation,,1
Autonomous Driving,Other domain-specific approaches,1
Robotic Manipulation,,1
